detectionid,code,year,filename,timestamp,x1,x2,y1,y2,wktposition,abovethreshold,nweID,nweTR,eurID,eurTR
0001ddde-16de-4ec9-a059-578943074dad,G1,2025,20250803010959-snapshot.jpg,1754183399,1388,1506,1718,1934,POINT(14.8866697 50.2391933),TRUE,Eilema pygmaeola,species,Lepidoptera Macros,order
00026a9f-b1fa-4877-8e85-428a7b839235,F1,2025,20250721234959-snapshot.jpg,1753141799,1648,1802,1678,1920,POINT(14.8958531 50.2718919),TRUE,Eilema complana,species,Erebidae,family
0003e8ed-8370-4388-b724-6fe1c0b2893c,G1,2025,20250627013959-snapshot.jpg,1750988399,1350,1396,228,293,POINT(14.8866697 50.2391933),TRUE,Hemiptera,order,Hemiptera,order
00049ce4-d63d-402f-afc6-4942e78a459a,W1,2025,20250706005959-snapshot.jpg,1751763599,3228,3284,389,455,,TRUE,Diptera Brachycera,order,Diptera Brachycera,order
00057bcf-592b-47c3-b0b1-c3e67afbd4be,F1,2025,20250625005959-snapshot.jpg,1750813199,1388,1819,1114,1579,POINT(14.8958531 50.2718919),TRUE,Vegetation,order,Vegetation,order
00060784-0166-48d0-9826-e497f53fcba0,G1,2025,20250621005959-snapshot.jpg,1750467599,2348,2680,405,666,POINT(14.8866697 50.2391933),TRUE,Pterophorus pentadactyla,species,Erebidae,family
0006ebb4-23e5-44f6-9517-e255239078d8,F1,2025,20250624003000-snapshot.jpg,1750725000,1451,1522,65,156,POINT(14.8958531 50.2718919),TRUE,Araneae,order,Araneae,order
0006f5c7-0f40-4fe1-af3c-215d9b21b459,F1,2025,20250603020000-snapshot.jpg,1748916000,1301,1438,1100,1282,POINT(14.8958531 50.2718919),TRUE,Deltote deceptoria,species,Deltote deceptoria,species
0006f8ec-6351-4e25-8d3b-19417122d351,F1,2025,20250418000959-snapshot.jpg,1744934999,1711,1779,1237,1287,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
000739b1-decd-4817-8b91-f82775e9596f,G1,2025,20250703003000-snapshot.jpg,1751502600,2440,2492,0,38,POINT(14.8866697 50.2391933),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
00075ea5-4935-43f1-b322-f503d32375ad,F1,2025,20250626024959-snapshot.jpg,1750906199,2860,2904,298,359,POINT(14.8958531 50.2718919),TRUE,Diptera Brachycera,order,Diptera Brachycera,order
000762f1-905f-4db3-aa08-c21579f12b6a,W1,2025,20250615235000-snapshot.jpg,1750031400,166,238,2072,2159,,TRUE,Hofmannophila pseudospretella,species,Nepticulidae,family
0007ac2a-8dc2-4c83-9fa4-1f9af7e7eea7,F1,2025,20250910012959-snapshot.jpg,1757467799,561,637,756,866,POINT(14.8958531 50.2718919),FALSE,Hymenoptera Other,order,Hymenoptera Other,order
0007ca11-d4e2-4fe4-846d-172859df9ab0,W1,2025,20250814021000-snapshot.jpg,1755137400,1305,1384,497,645,,TRUE,Blastobasis lacticolella,species,Lepidoptera Micros,order
0007f930-e6e6-457d-b015-f20b27c42c07,G1,2025,20250816022000-snapshot.jpg,1755310800,3580,3720,1739,1940,POINT(14.8866697 50.2391933),TRUE,Agriphila inquinatella,species,Crambidae,family
