Partner acronym,Year,Deployment code,Deployment code,Device ID,Device deployment date (double-click cell to bring up calendar),Device retrieval date (double-click cell to bring up calendar),"Device latitude (in degrees, WGS84, EPSG: 4326, optional)","Device longitude (in degrees, WGS84, EPSG: 4326, optional)","Secondary device ID (optional, e.g. AMI trap internal ID)",Downtime (?),
BOZEN,2024,F2,Song Meter Mini 2,2MA02357,14/06/2024,12/09/2024,,,,,"=AI("""")"
BOZEN,2024,F2,Song Meter Mini Bat 2,2MU00060,14/06/2024,17/07/2024,,,,,
BOZEN,2024,W2,Song Meter Mini 2,2MA02536,09/08/2024,16/09/2024,,,,,
BOZEN,2024,W2,Song Meter Mini Bat 2,2MU00336,09/08/2024,16/09/2024,,,,,
BOZEN,2024,G1,Song Meter Mini 2,2MA02532,05/08/2024,19/09/2024,,,,,
BOZEN,2024,G1,Song Meter Mini Bat 2,2MU06239,05/08/2024,19/09/2024,,,,,
BOZEN,2025,W1,AMI,RW-AMI-0075,21/04/2025,,46.37272,11.26448,,,
BOZEN,2025,F1,AMI,RW-AMI-0081,23/04/2025,,46.400274,11.28723,,,
BOZEN,2025,G1,AMI,RW-AMI-0082,21/04/2025,,46.686331,10.579831,,,
BOZEN,2025,F2,Song Meter Mini 2,2MA02357,22/04/2025,,,,,,
BOZEN,2025,F2,Song Meter Mini Bat 2,2MU00060,,,,,,,
BOZEN,2025,W2,Song Meter Mini 2,2MA02536,,,,,,,
BOZEN,2025,W2,Song Meter Mini Bat 2,2MU00336,,,,,,,
BOZEN,2025,G1,Song Meter Mini 2,2MA02532,,,,,,,
BOZEN,2025,G1,Song Meter Mini Bat 2,2MU06239,,,,,,,
BOZEN,2025,F1,Song Meter Mini 2,2MA02533,,,,,,,
BOZEN,2025,F1,Song Meter Mini Bat 2,2MU00769,,,,,,,
BOZEN,2025,W1,Song Meter Mini 2,2MA02529,,,,,,,
BOZEN,2025,W1,Song Meter Mini Bat 2,2MU00086,,,,,,,
BOZEN,2025,G2,Song Meter Mini 2,2MA02341,,,,,,,
BOZEN,2025,G2,Song Meter Mini Bat 2,2MU02344,,,,,,,
DACC,2025,F1,Song Meter Mini 2,2LA02372,25/03/2025,02/08/2025,41.97789,1.54765,,,
DACC,2025,F1,Song Meter Mini Bat 2,2LU02058,25/03/2025,03/07/2025,41.97789,1.54765,,,
DACC,2025,W1,Song Meter Mini 2,2LA02187,09/06/2025,30/08/2025,42.22482,3.09604,,From 30/08/2025 until 03/09/2025,
DACC,2025,W1,Song Meter Mini Bat 2,2LU00227,09/06/2025,27/07/2025,42.22482,3.09604,,From 27/07/2025 until 03/09/2025,
DACC,2025,W2,Song Meter Mini 2,2LA01737,09/06/2025,03/09/2025,42.21127,3.098865,,No downtime,
DACC,2025,W2,Song Meter Mini Bat 2,2LU00125,09/06/2025,02/08/2025,42.21127,3.098865,,From 02/08/2025 until 03/09/2025,
DACC,2025,G1,Song Meter Mini 2,2LA02382xxx,13/05/2025,03/08/2025,41.501111,0.723056,,,
DACC,2025,G1,Song Meter Mini Bat 2,2LU02930,13/05/2025,19/06/2025,41.501111,0.723056,,From 19/06/2025 until 28/08/2025,
DACC,2025,G2,Song Meter Mini 2,2LA02377xxx,13/05/2025,04/08/2025,41.478889,0.709722,,,
DACC,2025,G2,Song Meter Mini Bat 2,2LU02935,13/05/2025,28/08/2025,41.478889,0.709722,,No downtime,
