acronym,partner_folder,code,year,LON_4326,LAT_4326,notes
VL O INBO,belgium,F1,2024,3.8039899,50.975399,
VL O INBO,belgium,F2,2024,3.80126,50.975399,
VL O INBO,belgium,G1,2024,3.91469,51.0247993,
VL O INBO,belgium,G2,2024,3.9105599,51.0265999,
VL O INBO,belgium,W1,2024,3.2692699,51.1542015,
VL O INBO,belgium,W2,2024,3.26758,51.1559982,
ExEA,bulgaria,F1,2024,23.2248993,42.6228981,
ExEA,bulgaria,F2,2024,23.2257004,42.6236992,
ExEA,bulgaria,G1,2024,23.8166008,42.0688019,
ExEA,bulgaria,G2,2024,23.8169003,42.0682983,
ExEA,bulgaria,W1,2024,22.9494991,42.9361992,
MoE DK,denmark,F1,2024,10.2488003,56.8347015,
MoE DK,denmark,F2,2024,10.2503996,56.832901,
MoE DK,denmark,G1,2024,11.4643002,54.6262016,
MoE DK,denmark,G2,2024,11.4673996,54.6244011,
MoE DK,denmark,W1,2024,10.1914997,56.8473015,
MoE DK,denmark,W2,2024,10.1948004,56.8490982,
MoE FI,finland,F1,2024,24.5177994,60.3205986,
MoE FI,finland,F2,2024,24.5212994,60.3209991,
MoE FI,finland,G1,2024,24.4377003,59.9892998,
MoE FI,finland,G2,2024,24.4431992,59.9902992,
MoE FI,finland,O1,2024,22.1744003,60.4360008,
MoE FI,finland,O2,2024,22.1779003,60.4350014,
NPWS,ireland,F1,2024,-9.5730104,51.9620018,
NPWS,ireland,F2,2024,-9.5699997,51.9630013,
NPWS,ireland,G1,2024,-8.0023899,53.144001,
NPWS,ireland,G2,2024,-7.9952502,53.1404991,
BOZEN,italy,F1,2024,11.2873001,46.4001999,
BOZEN,italy,F2,2024,11.2861004,46.4029007,
BOZEN,italy,G1,2024,10.5797997,46.6864014,
BOZEN,italy,G2,2024,10.5838003,46.6864014,
BOZEN,italy,W1,2024,11.2685003,46.3734016,
BOZEN,italy,W2,2024,11.2711,46.3725014,
SAS,slovakia,F1,2024,17.4687996,47.9049988,
SAS,slovakia,F2,2024,17.4713993,47.9057007,
SAS,slovakia,G1,2024,17.9332008,47.7521019,
SAS,slovakia,G2,2024,17.9251003,47.7517014,
SAS,slovakia,W1,2024,17.7068996,47.8434982,
SAS,slovakia,W2,2024,17.7185001,47.8436012,
SEPA,sweden,F1,2024,13.4590998,55.6940994,
SEPA,sweden,F2,2024,13.4566002,55.6946983,
SEPA,sweden,G1,2024,14.0338001,55.5475998,
SEPA,sweden,G2,2024,14.0368004,55.5463982,
SEPA,sweden,W1,2024,13.5227003,55.6939011,
SEPA,sweden,W2,2024,13.5200996,55.6922989,
NWO,the_netherlands,F1,2024,5.8435402,52.0381012,
NWO,the_netherlands,F2,2024,5.8396301,52.0369987,
NWO,the_netherlands,G1,2024,4.56144,52.3555984,
NWO,the_netherlands,G2,2024,4.5600901,52.3577003,
NWO,the_netherlands,W1,2024,5.0389299,52.2057991,
NWO,the_netherlands,W2,2024,5.0399199,52.2038994,
ExEA,bulgaria,G1,2025,23.8166008,42.0688019,moved since 2024
NCA CZ,czech_republic,F1,2025,14.8958531,50.2718919,
NCA CZ,czech_republic,F2,2025,14.8928669,50.2714439,
NCA CZ,czech_republic,G1,2025,14.8866697,50.2391933,
NCA CZ,czech_republic,G2,2025,14.889114,50.237903,
MoE FI,finland,W1,2025,24.775414,60.981533,moved from O1
MoE FI,finland,W2,2025,24.773458,60.983522,moved from O2
MoE FI,finland,F1,2025,24.517486,60.320621,moved since 2024
MoE FI,finland,G1,2025,24.438685,59.989746,moved since 2024
NPWS,ireland,W1,2025,-7.991388,53.15695,
NPWS,ireland,W2,2025,-7.98841,53.156312,
NCA CZ,czech_republic,W1,2025,14.8526836,50.2274506,
MESD,croatia,F1,2025,16.821325,45.37327,
MESD,croatia,F2,2025,16.820142,45.3731,
MESD,croatia,G1,2025,16.59534,45.509155,
MESD,croatia,G2,2025,16.596318,45.501483,
MESD,croatia,W1,2025,16.83889,45.279458,
MESD,croatia,W2,2025,16.83889,45.279458,
DACC,spain,F1,2025,1.5094,41.9922,
DACC,spain,F2,2025,1.54765,41.97789,
DACC,spain,G1,2025,0.723056,41.501111,
DACC,spain,G2,2025,0.709722,41.478889,
DACC,spain,W1,2025,3.09604,42.22482,
DACC,spain,W2,2025,3.098865,42.21127,
