Species,Samplesize,Countries,Original_precision,Threshold_050,Threshold_090,Threshold_095,recall_90,recall_95,Performance,NOTES,F_090,F_095
Sitta europaea,108,4,0.991,0.097,0.126,0.135,0.585,0.451,0,,0.709090909,0.611634547
Merops apiaster,54,2,0.981,0,0,0,1,1,0,,0.947368421,0.974358974
Phylloscopus collybita,108,4,0.963,0.057,0.214,0.267,0.659,0.506,0,,0.760872354,0.660302198
Alauda arvensis,54,2,0.926,0.107,0.292,0.355,0.538,0.455,0,,0.673435327,0.615302491
Cyanistes caeruleus,117,4,0.915,0.013,0.363,0.482,0.673,0.579,0,Calls rarely confused with Parus major,0.770120788,0.719489863
Troglodytes troglodytes,135,5,0.911,0,0.432,0.702,0.738,0.699,0,,0.810989011,0.80539721
Fringilla coelebs,108,4,0.907,0,0.437,0.674,0.82,0.809,0,,0.858139535,0.873848778
Linaria cannabina,54,2,0.907,0,0.42,0.623,0.981,0.981,0,,0.938755981,0.965251165
Cuculus canorus,81,3,0.901,0.029,0.412,0.542,0.633,0.52,0,,0.743248532,0.672108844
Turdus merula,108,4,0.898,0,0.451,0.633,0.904,0.897,0,,0.901995565,0.922739578
Parus major,96,4,0.896,0,0.498,0.785,0.685,0.628,0,Calls rarely confused with Cyanistes caeruleus,0.777917981,0.756147022
Certhia familiaris,108,4,0.889,0,0.208,0,0.865,0.881,0,,0.882152975,0.914199891
Prunella modularis,54,2,0.889,0.023,0.449,0.593,0.619,0.538,0,,0.733508887,0.686962366
Phasianus colchicus,81,3,0.877,0,0.518,0.718,0.671,0.619,0,,0.768809675,0.749585723
Sylvia atricapilla,108,4,0.87,0,0.608,0.916,0.645,0.582,0,Only calls detected,0.751456311,0.721801567
Garrulus glandarius,108,4,0.87,0,0.53,0.725,0.691,0.656,0,,0.78177247,0.776089664
Corvus corax,108,4,0.861,0.135,0.477,0.593,0.459,0.33,0,Occasionally mistaken with foxes ,0.60794702,0.48984375
Dendrocopos major,108,4,0.852,0.159,0.467,0.572,0.443,0.333,0,,0.593745346,0.493141076
Corvus monedula,81,3,0.84,0.189,0.464,0.558,0.443,0.292,0,,0.593745346,0.446698873
Carduelis carduelis,108,4,0.833,0,0.709,0.987,0.667,0.61,0,,0.766177409,0.742948718
Gallinago gallinago,81,3,0.827,0.115,0.589,0.75,0.552,0.412,0,,0.684297521,0.574743025
Pica pica,81,3,0.815,0.123,0.64,0.815,0.581,0.368,0,,0.706144497,0.530500759
Erithacus rubecula,135,5,0.807,0.135,0.633,0.802,0.446,0.367,0,,0.596433878,0.529460896
Columba palumbus,81,3,0.802,0.071,0.701,0.915,0.563,0.466,0,,0.692686261,0.625282486
Regulus regulus,108,4,0.796,0.142,0.66,0.837,0.439,0.327,0,,0.590141897,0.486530932
