partner,total_detections,unique_species,mean_confidence
the_netherlands,404954,234,0.8723802312114158
spain,373621,279,0.8913943045360507
sweden,306837,252,0.8708540181843213
denmark,294647,255,0.8705283196478487
slovakia,266879,229,0.8758442517316817
croatia,237889,243,0.8599913579940804
czech_republic,179548,203,0.8696085195390455
belgium,150620,223,0.8582879449132904
finland,114347,177,0.8707244747127912
bulgaria,113612,197,0.877269300847508
italy,92232,197,0.8670491104104935
ireland,24408,106,0.8701853629473935
