partner,species,peak_doy,peak_rate_per_hour,season_onset_doy,season_end_doy,model_k_value,n_detections
czech_republic,Phylloscopus collybita_Common Chiffchaff,225,568.7990691534793,105,240,20,21433
czech_republic,Alauda arvensis_Eurasian Skylark,135,371.4245906944406,117,195,20,18186
czech_republic,Merops apiaster_European Bee-eater,216,483.44867574902406,139,240,20,13710
czech_republic,Turdus merula_Eurasian Blackbird,133,226.6095597465475,107,195,20,13412
czech_republic,Emberiza calandra_Corn Bunting,178,241.95413935872105,117,207,20,11650
czech_republic,Anthus trivialis_Tree Pipit,182,336.3469648299813,118,240,20,11594
czech_republic,Cuculus canorus_Common Cuckoo,140,217.1461292777644,117,171,20,8381
czech_republic,Sylvia atricapilla_Eurasian Blackcap,184,268.2416840874297,105,187,20,7461
czech_republic,Coccothraustes coccothraustes_Hawfinch,111,295.99586112244566,105,160,20,5932
czech_republic,Corvus corax_Common Raven,118,237.8321573678157,105,236,20,5472
czech_republic,Troglodytes troglodytes_Eurasian Wren,217,1.536108933164391,142,217,20,5
czech_republic,Locustella luscinioides_Savi's Warbler,202,13.49857196598787,186,240,20,168
czech_republic,Strix aluco_Tawny Owl,112,41.19654737986261,107,240,20,2161
czech_republic,Fringilla coelebs_Common Chaffinch,105,540.3882584092318,105,179,20,4559
czech_republic,Caprimulgus europaeus_Eurasian Nightjar,235,14.118877713285341,144,240,20,256
croatia,Acrocephalus arundinaceus_Great Reed Warbler,162,662.9452000244049,112,197,20,38553
croatia,Passer montanus_Eurasian Tree Sparrow,104,875.2609820275956,104,222,20,19048
croatia,Nycticorax nycticorax_Black-crowned Night-Heron,192,324.9531572703471,118,239,20,18998
croatia,Zapornia pusilla_Baillon's Crake,111,321.4793099062359,107,198,20,17630
croatia,Motacilla alba_White Wagtail,213,229.5415214313999,104,234,20,8872
croatia,Erithacus rubecula_European Robin,176,128.0520152268426,119,244,20,7849
croatia,Tachybaptus ruficollis_Little Grebe,104,129.8180186482437,104,213,20,6048
croatia,Oriolus oriolus_Eurasian Golden Oriole,129,162.3493969176697,116,218,20,5973
croatia,Corvus corax_Common Raven,244,146.83264719969776,105,244,20,5358
croatia,Troglodytes troglodytes_Eurasian Wren,205,173.84738027889819,130,244,20,5226
croatia,Phylloscopus collybita_Common Chiffchaff,112,22.85893129713906,104,244,20,601
croatia,Anthus trivialis_Tree Pipit,233,7.680131960909087,110,238,20,221
croatia,Cisticola juncidis_Zitting Cisticola,211,1.5232517801902616,211,211,20,2
croatia,Locustella luscinioides_Savi's Warbler,200,15.928207862410424,137,236,20,200
croatia,Strix aluco_Tawny Owl,244,414.3253697132795,132,244,20,4867
croatia,Merops apiaster_European Bee-eater,234,246.6959635579014,208,237,20,4354
croatia,Fringilla coelebs_Common Chaffinch,111,33.2609380414762,104,165,20,1556
croatia,Caprimulgus europaeus_Eurasian Nightjar,190,1.4017219036008102,104,222,20,80
spain,Cisticola juncidis_Zitting Cisticola,201,548.1682365991808,157,238,20,76521
spain,Himantopus himantopus_Black-winged Stilt,219,497.5128377694585,160,227,20,38588
spain,Caprimulgus europaeus_Eurasian Nightjar,153,378.22353021294384,132,196,20,36195
spain,Luscinia megarhynchos_Common Nightingale,126,1195.624480622704,103,163,20,29707
spain,Delichon urbicum_Common House-Martin,140,193.16965829151616,106,202,20,21719
spain,Melanocorypha calandra_Calandra Lark,153,299.5218581032774,133,161,20,18449
spain,Acrocephalus arundinaceus_Great Reed Warbler,161,378.7445178405804,160,202,20,16702
spain,Merops apiaster_European Bee-eater,246,761.8210783674778,190,246,20,15624
spain,Apus apus_Common Swift,195,120.9693355545216,111,201,20,15565
spain,Otus scops_Eurasian Scops-Owl,102,700.6066126348342,92,211,20,11197
spain,Phylloscopus collybita_Common Chiffchaff,84,679.4104288279361,84,96,20,2044
spain,Anthus trivialis_Tree Pipit,237,5.9309753493929875,193,246,20,150
spain,Troglodytes troglodytes_Eurasian Wren,191,0.23781426869645414,191,191,20,1
spain,Locustella luscinioides_Savi's Warbler,118,3.1970880032464652,118,240,20,21
spain,Strix aluco_Tawny Owl,160,2.20997410342109,129,246,20,323
spain,Fringilla coelebs_Common Chaffinch,207,0.22670458727094245,201,214,20,3
denmark,Phylloscopus collybita_Common Chiffchaff,208,575.769473570659,120,253,20,31646
denmark,Anthus trivialis_Tree Pipit,120,241.64845573873373,120,253,20,25295
denmark,Alauda arvensis_Eurasian Skylark,186,357.41472974985305,135,201,20,25041
denmark,Fringilla coelebs_Common Chaffinch,127,335.24043012040397,120,185,20,20951
denmark,Phoenicurus phoenicurus_Common Redstart,120,237.88877603704654,120,247,20,20547
denmark,Troglodytes troglodytes_Eurasian Wren,219,250.97866346340749,120,260,20,13815
denmark,Curruca communis_Greater Whitethroat,169,348.67367459440663,135,176,20,11291
denmark,Sitta europaea_Eurasian Nuthatch,260,596.7190805257171,196,260,20,10731
denmark,Columba palumbus_Common Wood-Pigeon,255,140.20278412820795,120,260,20,10683
denmark,Cuculus canorus_Common Cuckoo,133,180.096432797653,124,193,20,10032
denmark,Cisticola juncidis_Zitting Cisticola,213,0.0278300325773762,169,260,20,2
denmark,Locustella luscinioides_Savi's Warbler,120,0.019143956743118504,120,260,20,3
denmark,Strix aluco_Tawny Owl,233,108.38782022063249,120,260,20,5867
denmark,Merops apiaster_European Bee-eater,146,2.9438308558753987,137,246,20,31
denmark,Caprimulgus europaeus_Eurasian Nightjar,154,200.7947432371922,150,178,20,9870
italy,Phylloscopus bonelli_Western Bonelli's Warbler,160,769.6833742788826,144,203,20,9362
italy,Cisticola juncidis_Zitting Cisticola,211,661.2932336421441,184,215,20,6914
italy,Strix aluco_Tawny Owl,237,746.6458799119912,113,237,20,6327
italy,Phylloscopus collybita_Common Chiffchaff,112,407.38656044245016,112,221,20,5414
italy,Anthus trivialis_Tree Pipit,122,505.818811960122,117,192,20,5078
italy,Dendrocopos major_Great Spotted Woodpecker,232,171.83905819071256,112,237,20,4650
italy,Periparus ater_Coal Tit,127,195.69168211862038,112,230,20,4203
italy,Sylvia atricapilla_Eurasian Blackcap,169,201.8832363551232,112,209,20,3969
italy,Fringilla coelebs_Common Chaffinch,132,220.87809692452817,112,188,20,3609
italy,Erithacus rubecula_European Robin,171,244.3202547660055,131,230,20,2680
italy,Acrocephalus arundinaceus_Great Reed Warbler,112,3.292208882057726,112,136,20,28
italy,Troglodytes troglodytes_Eurasian Wren,180,33.04299347500678,112,228,20,648
italy,Locustella luscinioides_Savi's Warbler,237,295.1584721588264,216,237,20,876
italy,Merops apiaster_European Bee-eater,138,7.119637571473346,138,138,20,8
italy,Caprimulgus europaeus_Eurasian Nightjar,163,65.42825613000825,139,202,20,759
belgium,Troglodytes troglodytes_Eurasian Wren,142,691.9248982353935,99,203,20,25199
belgium,Phylloscopus collybita_Common Chiffchaff,182,501.76244331636263,93,242,20,24026
belgium,Cuculus canorus_Common Cuckoo,152,447.69858211912094,110,181,20,14285
belgium,Corvus monedula_Eurasian Jackdaw,204,225.80906255022592,93,232,20,8147
belgium,Certhia brachydactyla_Short-toed Treecreeper,233,131.51348720818595,93,242,20,6360
belgium,Cettia cetti_Cetti's Warbler,119,430.8495812506648,110,132,20,5319
belgium,Columba palumbus_Common Wood-Pigeon,207,138.34503396795557,116,242,20,4891
belgium,Picus viridis_Eurasian Green Woodpecker,93,164.44858974907316,93,239,20,4511
